0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateAssign.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/facultyRegis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/AssignSubject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/Addcourse.js HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:53 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:31:17 +0530] "POST /newmoodle/AddSubject HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/admin.jsp HTTP/1.1" 200 23939
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatefacresitration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateAssign.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/Addcourse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatecourse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/AssignSubject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/facultyRegis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:00:13 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:16 +0530] "GET /newmoodle/admin.jsp HTTP/1.1" 200 24016
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateAssign.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatefacresitration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:01:01:17 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/facultyRegis.js HTTP/1.1" 304 -
